SID,Major,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Year
214,H,Potions 6,Muggle Studies 1 ,Transfiguration 5,Charms 7,Defense Against the Dark Arts 3,Runes 4,Herbology 3,Divination 3,Care of Magical Creatures 3,7
215,R,Potions 5,,Transfiguration 4,Charms 4,Defense Against the Dark Arts 3,,Herbology 6,Divination 3,Care of Magical Creatures 2,5
216,S,Potions 2,,Transfiguration 2,Charms 3,Defense Against the Dark Arts 6,,Herbology 4,,,7
217,S,Potions 4,Muggle Studies 3,Transfiguration 7,Charms 1,Defense Against the Dark Arts 7,Runes 3,Herbology 2,Divination 1 ,Care of Magical Creatures 2,6
218,G,Potions 5,Muggle Studies 2,Transfiguration 3,Charms 6,Defense Against the Dark Arts 3,Runes 4,Herbology 2,Divination 3,Care of Magical Creatures 1,6
219,G,Potions 2,,Transfiguration 4,Charms 4,Defense Against the Dark Arts 5,,Herbology 6,,,2
220,G,Potions 1,,Transfiguration 3,Charms 7,Defense Against the Dark Arts 3,,Herbology 4,Divination 2,Care of Magical Creatures 4,5
221,R,Potions 3,Muggle Studies 2,Transfiguration 6,Charms 7,Defense Against the Dark Arts 5,Runes 3,Herbology 5,Divination 1 ,Care of Magical Creatures 3,4
222,R,Potions 2,,Transfiguration 6,Charms 4,Defense Against the Dark Arts 7,,Herbology 1,,,2
223,S,Potions 1,Muggle Studies 2,Transfiguration 5,Charms 2,Defense Against the Dark Arts 5,Runes 4,Herbology 2,Divination 2,Care of Magical Creatures 4,1
224,H,Potions 4,,Transfiguration 3,Charms 6,Defense Against the Dark Arts 4,,Herbology 4,,,4
225,H,Potions 5,Muggle Studies 2,Transfiguration 4,Charms 5,Defense Against the Dark Arts 7,Runes 2,Herbology 2,Divination 2,Care of Magical Creatures 5,3
226,S,Potions 4,Muggle Studies 2,Transfiguration 7,Charms 7,Defense Against the Dark Arts 6,Runes 1,Herbology 2,Divination 1 ,Care of Magical Creatures 1,6
227,G,Potions 2,,Transfiguration 7,Charms 1,Defense Against the Dark Arts 4,,Herbology 7,,,4
228,H,Potions 2,,Transfiguration 6,Charms 7,Defense Against the Dark Arts 4,,Herbology 7,,,2
229,H,Potions 5,,Transfiguration 7,Charms 5,,,,,,3
230,H,Potions 3,,Transfiguration 3,Charms 7,,,Herbology 4,,,3
231,H,Potions 7,,Transfiguration 4,Charms 2,Defense Against the Dark Arts 5,,Herbology 7,,,5
232,H,Potions 5,,Transfiguration 6,Charms 2,Defense Against the Dark Arts 1,,Herbology 1,,,7
233,R,Potions 4,,Transfiguration 7,Charms 2,,,,,,1
234,S,Potions 2,,Transfiguration 6,Charms 7,Defense Against the Dark Arts 5,,Herbology 6,Divination 1 ,Care of Magical Creatures 1,2
235,G,Potions 7,,Transfiguration 3,Charms 1,,,Herbology 4,,,6
236,G,Potions 1,,Transfiguration 6,Charms 1,Defense Against the Dark Arts 3,,Herbology 6,,,3
237,R,Potions 1,,Transfiguration 2,Charms 6,Defense Against the Dark Arts 2,,Herbology 6,Divination 3,Care of Magical Creatures 5,4
238,S,Potions 5,Muggle Studies 3,Transfiguration 5,Charms 2,Defense Against the Dark Arts 5,Runes 1,Herbology 2,Divination 4,Care of Magical Creatures 5,5
239,G,Potions 3,Muggle Studies 3,Transfiguration 3,Charms 7,Defense Against the Dark Arts 4,Runes 2,Herbology 1,Divination 4,Care of Magical Creatures 2,2
240,H,Potions 6,,Transfiguration 6,Charms 1,Defense Against the Dark Arts 4,,Herbology 5,,,6
241,R,Potions 6,Muggle Studies 1 ,Transfiguration 2,Charms 2,Defense Against the Dark Arts 5,Runes 4,Herbology 2,Divination 2,Care of Magical Creatures 4,7
242,R,Potions 7,,Transfiguration 4,Charms 2,Defense Against the Dark Arts 3,,Herbology 4,,,2
243,S,Potions 5,,Transfiguration 4,Charms 2,,,Herbology 5,,,3
244,S,Potions 7,,Transfiguration 7,Charms 1,Defense Against the Dark Arts 1,,Herbology 7,,,7
245,R,Potions 1,,Transfiguration 5,Charms 2,Defense Against the Dark Arts 4,,Herbology 2,Divination 1 ,Care of Magical Creatures 2,2
246,R,Potions 2,,Transfiguration 5,Charms 3,Defense Against the Dark Arts 2,,Herbology 1,,,1
247,H,Potions 1,Muggle Studies 2,Transfiguration 2,Charms 6,Defense Against the Dark Arts 2,Runes 2,Herbology 1,Divination 2,Care of Magical Creatures 5,2
248,S,Potions 5,Muggle Studies 3,Transfiguration 4,Charms 3,Defense Against the Dark Arts 5,Runes 1,Herbology 1,Divination 2,Care of Magical Creatures 5,4
249,R,Potions 7,Muggle Studies 3,Transfiguration 3,Charms 6,Defense Against the Dark Arts 3,Runes 1,Herbology 1,Divination 3,Care of Magical Creatures 3,2
250,G,Potions 2,Muggle Studies 1 ,Transfiguration 1,Charms 7,Defense Against the Dark Arts 3,Runes 4,Herbology 5,Divination 2,Care of Magical Creatures 3,3
251,G,Potions 5,,Transfiguration 2,Charms 4,Defense Against the Dark Arts 4,,Herbology 7,,,4
252,H,Potions 2,,Transfiguration 6,Charms 6,Defense Against the Dark Arts 6,,Herbology 5,,,3
253,H,Potions 5,,Transfiguration 4,Charms 3,Defense Against the Dark Arts 5,,Herbology 2,Divination 3,Care of Magical Creatures 1,6
254,G,Potions 6,,Transfiguration 5,Charms 7,Defense Against the Dark Arts 3,,Herbology 6,,,6
255,S,Potions 2,,Transfiguration 2,Charms 7,,,,,,4
256,G,Potions 3,,Transfiguration 2,Charms 7,Defense Against the Dark Arts 4,,Herbology 2,Divination 1 ,Care of Magical Creatures 1,7
257,S,Potions 1,,Transfiguration 1,Charms 3,Defense Against the Dark Arts 3,,Herbology 7,,,4
258,G,Potions 2,,Transfiguration 4,Charms 1,,,Herbology 4,,,2
259,S,Potions 3,,Transfiguration 2,Charms 2,Defense Against the Dark Arts 4,,Herbology 4,,,5
260,R,Potions 5,Muggle Studies 3,Transfiguration 4,Charms 7,Defense Against the Dark Arts 6,Runes 3,Herbology 4,Divination 1 ,Care of Magical Creatures 2,7
261,H,Potions 2,,Transfiguration 6,Charms 4,Defense Against the Dark Arts 3,,Herbology 7,,,7
262,R,Potions 3,Muggle Studies 3,Transfiguration 3,Charms 6,Defense Against the Dark Arts 2,Runes 1,Herbology 2,Divination 1 ,Care of Magical Creatures 5,1
263,S,Potions 4,,Transfiguration 5,Charms 4,Defense Against the Dark Arts 5,,Herbology 4,,,6
264,S,Potions 5,Muggle Studies 3,Transfiguration 3,Charms 5,Defense Against the Dark Arts 6,Runes 2,Herbology 4,Divination 3,Care of Magical Creatures 2,7
265,R,Potions 1,Muggle Studies 3,Transfiguration 2,Charms 1,Defense Against the Dark Arts 7,Runes 4,Herbology 6,Divination 2,Care of Magical Creatures 3,5
266,S,Potions 3,Muggle Studies 1 ,Transfiguration 3,Charms 4,Defense Against the Dark Arts 5,Runes 1,Herbology 2,Divination 3,Care of Magical Creatures 3,3
267,G,Potions 2,,Transfiguration 1,Charms 7,Defense Against the Dark Arts 4,,Herbology 1,,,1
268,R,Potions 5,,Transfiguration 4,Charms 2,,,Herbology 2,,,4
269,H,Potions 4,,Transfiguration 1,Charms 6,Defense Against the Dark Arts 6,,Herbology 1,,,4
270,S,Potions 7,,Transfiguration 6,Charms 7,Defense Against the Dark Arts 6,,Herbology 5,,,6
271,S,Potions 1,,Transfiguration 4,Charms 5,Defense Against the Dark Arts 1,,Herbology 4,,,4
272,S,Potions 1,,Transfiguration 5,Charms 4,Defense Against the Dark Arts 7,,Herbology 7,Divination 2,Care of Magical Creatures 2,7
273,H,Potions 3,,Transfiguration 5,Charms 5,,,Herbology 4,,,3
274,H,Potions 7,Muggle Studies 1 ,Transfiguration 5,Charms 3,Defense Against the Dark Arts 4,Runes 4,Herbology 6,Divination 3,Care of Magical Creatures 2,3
275,H,Potions 4,,Transfiguration 1,Charms 5,,,,,,5
276,R,Potions 5,Muggle Studies 3,Transfiguration 6,Charms 6,Defense Against the Dark Arts 3,Runes 1,Herbology 6,Divination 3,Care of Magical Creatures 5,2
277,S,Potions 6,,Transfiguration 7,Charms 2,Defense Against the Dark Arts 6,,Herbology 2,,,4
278,S,Potions 4,,Transfiguration 2,Charms 1,Defense Against the Dark Arts 6,,Herbology 1,,,6
279,S,Potions 3,,Transfiguration 7,Charms 6,Defense Against the Dark Arts 5,,Herbology 1,,,2
280,G,Potions 1,,Transfiguration 7,Charms 6,Defense Against the Dark Arts 5,,Herbology 1,,,6
281,R,Potions 1,,Transfiguration 2,Charms 5,,,Herbology 1,,,2
282,H,Potions 7,,Transfiguration 6,Charms 4,Defense Against the Dark Arts 4,,Herbology 1,,,2
283,H,Potions 7,Muggle Studies 1 ,Transfiguration 2,Charms 3,Defense Against the Dark Arts 3,Runes 1,Herbology 3,Divination 2,Care of Magical Creatures 3,5
284,H,Potions 2,Muggle Studies 3,Transfiguration 7,Charms 6,Defense Against the Dark Arts 3,Runes 3,Herbology 5,Divination 4,Care of Magical Creatures 1,3
285,G,Potions 1,,Transfiguration 4,Charms 7,Defense Against the Dark Arts 4,,Herbology 4,Divination 3,Care of Magical Creatures 5,6
286,S,Potions 5,Muggle Studies 3,Transfiguration 1,Charms 6,Defense Against the Dark Arts 4,Runes 3,Herbology 3,Divination 1 ,Care of Magical Creatures 3,4
287,G,Potions 5,Muggle Studies 3,Transfiguration 5,Charms 3,Defense Against the Dark Arts 5,Runes 2,Herbology 6,Divination 3,Care of Magical Creatures 1,6
288,R,Potions 7,Muggle Studies 1 ,Transfiguration 7,Charms 7,Defense Against the Dark Arts 4,Runes 2,Herbology 5,Divination 1 ,Care of Magical Creatures 2,5
289,R,Potions 7,,Transfiguration 1,Charms 5,,,Herbology 4,,,5
290,G,Potions 6,,Transfiguration 3,Charms 4,Defense Against the Dark Arts 3,,Herbology 7,Divination 3,Care of Magical Creatures 1,7
291,S,Potions 1,,Transfiguration 7,Charms 6,Defense Against the Dark Arts 7,,Herbology 5,,,1
292,H,Potions 2,Muggle Studies 3,Transfiguration 5,Charms 5,Defense Against the Dark Arts 6,Runes 1,Herbology 6,Divination 3,Care of Magical Creatures 2,2
293,H,Potions 7,,Transfiguration 7,Charms 1,Defense Against the Dark Arts 2,,Herbology 2,,,3
294,G,Potions 2,Muggle Studies 2,Transfiguration 5,Charms 2,Defense Against the Dark Arts 6,Runes 3,Herbology 6,Divination 4,Care of Magical Creatures 3,5
295,S,Potions 5,,Transfiguration 7,Charms 2,Defense Against the Dark Arts 1,,Herbology 1,Divination 2,Care of Magical Creatures 5,4
296,R,Potions 5,Muggle Studies 2,Transfiguration 7,Charms 7,Defense Against the Dark Arts 3,Runes 2,Herbology 5,Divination 2,Care of Magical Creatures 3,5
297,H,Potions 3,Muggle Studies 2,Transfiguration 7,Charms 1,Defense Against the Dark Arts 4,Runes 4,Herbology 6,Divination 3,Care of Magical Creatures 2,5
298,H,Potions 4,Muggle Studies 1 ,Transfiguration 4,Charms 1,Defense Against the Dark Arts 4,Runes 1,Herbology 2,Divination 1 ,Care of Magical Creatures 3,2
299,R,Potions 6,,Transfiguration 5,Charms 2,,,Herbology 3,,,4
300,H,Potions 5,,Transfiguration 5,Charms 7,Defense Against the Dark Arts 7,,Herbology 7,,,6
301,R,Potions 2,Muggle Studies 3,Transfiguration 6,Charms 7,Defense Against the Dark Arts 7,Runes 4,Herbology 6,Divination 1 ,Care of Magical Creatures 3,2
302,H,Potions 5,,Transfiguration 2,Charms 7,,,Herbology 1,,,5
303,G,Potions 2,Muggle Studies 1 ,Transfiguration 5,Charms 7,Defense Against the Dark Arts 7,Runes 3,Herbology 2,Divination 3,Care of Magical Creatures 1,3
304,R,Potions 3,Muggle Studies 3,Transfiguration 3,Charms 4,Defense Against the Dark Arts 3,Runes 4,Herbology 6,Divination 4,Care of Magical Creatures 2,7
305,H,Potions 7,Muggle Studies 2,Transfiguration 1,Charms 6,Defense Against the Dark Arts 3,Runes 1,Herbology 2,Divination 4,Care of Magical Creatures 1,1
306,R,Potions 6,,Transfiguration 5,Charms 3,Defense Against the Dark Arts 1,,Herbology 6,Divination 3,Care of Magical Creatures 1,1
307,S,Potions 3,Muggle Studies 1 ,Transfiguration 6,Charms 3,Defense Against the Dark Arts 7,Runes 1,Herbology 2,Divination 4,Care of Magical Creatures 5,6
308,S,Potions 1,,Transfiguration 6,Charms 4,Defense Against the Dark Arts 3,,Herbology 2,,,5
309,G,Potions 1,,Transfiguration 3,Charms 6,,,Herbology 2,,,5
310,S,Potions 5,,Transfiguration 1,Charms 2,Defense Against the Dark Arts 4,,Herbology 6,,,4
311,H,Potions 6,,Transfiguration 4,Charms 4,Defense Against the Dark Arts 4,,Herbology 2,Divination 3,Care of Magical Creatures 3,2
312,S,Potions 3,Muggle Studies 3,Transfiguration 7,Charms 6,Defense Against the Dark Arts 5,Runes 4,Herbology 3,Divination 2,Care of Magical Creatures 2,3
313,G,Potions 2,Muggle Studies 1 ,Transfiguration 7,Charms 5,Defense Against the Dark Arts 7,Runes 1,Herbology 6,Divination 2,Care of Magical Creatures 5,2
314,H,Potions 3,,Transfiguration 6,Charms 4,,,Herbology 2,,,6
315,H,Potions 2,Muggle Studies 1 ,Transfiguration 1,Charms 4,Defense Against the Dark Arts 5,Runes 4,Herbology 3,Divination 4,Care of Magical Creatures 2,5
316,R,Potions 2,Muggle Studies 1 ,Transfiguration 7,Charms 3,Defense Against the Dark Arts 6,Runes 4,Herbology 4,Divination 1 ,Care of Magical Creatures 4,3
317,H,Potions 3,,Transfiguration 4,Charms 1,,,Herbology 2,,,1
318,S,Potions 2,,Transfiguration 6,Charms 1,,,,,,5
319,R,Potions 7,Muggle Studies 3,Transfiguration 2,Charms 7,Defense Against the Dark Arts 6,Runes 3,Herbology 4,Divination 4,Care of Magical Creatures 2,5
320,H,Potions 1,,Transfiguration 1,Charms 2,Defense Against the Dark Arts 6,,Herbology 7,,,7
321,S,Potions 4,Muggle Studies 2,Transfiguration 5,Charms 6,Defense Against the Dark Arts 7,Runes 1,Herbology 2,Divination 3,Care of Magical Creatures 1,3
322,H,Potions 4,,Transfiguration 5,Charms 2,Defense Against the Dark Arts 5,,Herbology 5,,,1
323,S,Potions 5,,Transfiguration 5,Charms 7,,,,,,2
324,G,Potions 4,,Transfiguration 7,Charms 5,,,Herbology 7,,,4
325,G,Potions 6,,Transfiguration 6,Charms 2,Defense Against the Dark Arts 6,,Herbology 4,,,1
326,G,Potions 3,Muggle Studies 2,Transfiguration 4,Charms 4,Defense Against the Dark Arts 3,Runes 4,Herbology 5,Divination 2,Care of Magical Creatures 3,7
327,G,Potions 3,,Transfiguration 6,Charms 7,Defense Against the Dark Arts 2,,Herbology 3,,,1
328,R,Potions 5,Muggle Studies 1 ,Transfiguration 1,Charms 2,Defense Against the Dark Arts 5,Runes 4,Herbology 5,Divination 3,Care of Magical Creatures 5,4
329,R,Potions 3,Muggle Studies 3,Transfiguration 6,Charms 7,Defense Against the Dark Arts 1,Runes 3,Herbology 5,Divination 4,Care of Magical Creatures 2,5
330,S,Potions 4,,Transfiguration 6,Charms 1,Defense Against the Dark Arts 2,,Herbology 6,,,6
331,G,Potions 7,,Transfiguration 1,Charms 6,Defense Against the Dark Arts 1,,Herbology 3,Divination 1 ,Care of Magical Creatures 2,7
332,G,Potions 4,,Transfiguration 1,Charms 2,Defense Against the Dark Arts 6,,Herbology 7,,,7
333,R,Potions 5,,Transfiguration 2,Charms 5,Defense Against the Dark Arts 2,,Herbology 6,,,6
334,R,Potions 1,Muggle Studies 2,Transfiguration 3,Charms 6,Defense Against the Dark Arts 7,Runes 3,Herbology 3,Divination 1 ,Care of Magical Creatures 4,7
335,H,Potions 2,,Transfiguration 5,Charms 3,Defense Against the Dark Arts 7,,Herbology 3,,,4
336,H,Potions 2,,Transfiguration 6,Charms 6,,,Herbology 2,,,3
337,R,Potions 3,,Transfiguration 5,Charms 2,Defense Against the Dark Arts 7,,Herbology 5,,,6
338,S,Potions 7,,Transfiguration 5,Charms 3,,,Herbology 2,,,1
339,S,Potions 5,,Transfiguration 3,Charms 2,Defense Against the Dark Arts 2,,Herbology 4,,,5
340,S,Potions 6,,Transfiguration 1,Charms 4,,,Herbology 1,,,2
341,G,Potions 5,Muggle Studies 2,Transfiguration 7,Charms 6,Defense Against the Dark Arts 7,Runes 2,Herbology 1,Divination 4,Care of Magical Creatures 5,4
342,S,Potions 1,,Transfiguration 4,Charms 1,Defense Against the Dark Arts 6,,Herbology 1,,,2
343,G,Potions 3,,Transfiguration 6,Charms 1,Defense Against the Dark Arts 6,,Herbology 4,Divination 4,Care of Magical Creatures 2,4
344,R,Potions 1,Muggle Studies 2,Transfiguration 2,Charms 7,Defense Against the Dark Arts 5,Runes 2,Herbology 7,Divination 3,Care of Magical Creatures 2,7
345,R,Potions 3,Muggle Studies 3,Transfiguration 6,Charms 5,Defense Against the Dark Arts 2,Runes 3,Herbology 3,Divination 3,Care of Magical Creatures 3,1
346,R,Potions 2,,Transfiguration 3,Charms 5,,,Herbology 7,,,7
347,G,Potions 7,Muggle Studies 3,Transfiguration 2,Charms 7,Defense Against the Dark Arts 2,Runes 3,Herbology 4,Divination 3,Care of Magical Creatures 5,3
348,S,Potions 3,Muggle Studies 2,Transfiguration 3,Charms 3,Defense Against the Dark Arts 5,Runes 3,Herbology 5,Divination 4,Care of Magical Creatures 2,2
