SID,Major,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Year
18,H,Potions 4,Muggle Studies 3,Transfiguration 3,Charms 4,Defense Against the Dark Arts 7,Runes 4,Herbology 7,Divination 3,Care of Magical Creatures 1,7
19,S,Potions 4,,Transfiguration 2,Charms 4,Defense Against the Dark Arts 2,,Herbology 7,,,7
20,G,Potions 4,,Transfiguration 2,Charms 1,Defense Against the Dark Arts 4,,Herbology 1,,,6
21,S,Potions 7,Muggle Studies 1 ,Transfiguration 3,Charms 1,Defense Against the Dark Arts 7,Runes 4,Herbology 5,Divination 2,Care of Magical Creatures 1,7
22,R,Potions 5,Muggle Studies 1 ,Transfiguration 2,Charms 1,Defense Against the Dark Arts 2,Runes 3,Herbology 4,Divination 3,Care of Magical Creatures 1,1
23,H,Potions 2,Muggle Studies 1 ,Transfiguration 2,Charms 2,Defense Against the Dark Arts 3,Runes 3,Herbology 6,Divination 3,Care of Magical Creatures 1,4
24,S,Potions 5,,Transfiguration 1,Charms 3,Defense Against the Dark Arts 2,,Herbology 5,,,7
25,H,Potions 6,,Transfiguration 3,Charms 2,Defense Against the Dark Arts 2,,Herbology 5,,,3
26,H,Potions 2,Muggle Studies 2,Transfiguration 3,Charms 6,Defense Against the Dark Arts 1,Runes 4,Herbology 1,Divination 3,Care of Magical Creatures 5,4
27,G,Potions 6,,Transfiguration 4,Charms 7,Defense Against the Dark Arts 6,,Herbology 5,,,2
28,R,Potions 3,,Transfiguration 6,Charms 2,,,Herbology 3,,,3
29,S,Potions 5,,Transfiguration 5,Charms 1,Defense Against the Dark Arts 3,,Herbology 7,,,4
30,S,Potions 2,,Transfiguration 2,Charms 2,Defense Against the Dark Arts 5,,Herbology 7,,,6
31,S,Potions 5,,Transfiguration 4,Charms 7,Defense Against the Dark Arts 2,,Herbology 2,,,3
32,H,Potions 1,,Transfiguration 5,Charms 1,Defense Against the Dark Arts 1,,Herbology 6,,,5
33,R,Potions 1,,Transfiguration 2,Charms 5,Defense Against the Dark Arts 4,,Herbology 5,Divination 2,Care of Magical Creatures 5,3
34,H,Potions 5,Muggle Studies 2,Transfiguration 2,Charms 7,Defense Against the Dark Arts 2,Runes 3,Herbology 6,Divination 1 ,Care of Magical Creatures 1,3
35,H,Potions 5,,Transfiguration 7,Charms 3,Defense Against the Dark Arts 1,,Herbology 5,Divination 1 ,Care of Magical Creatures 4,1
36,R,Potions 4,Muggle Studies 1 ,Transfiguration 7,Charms 7,Defense Against the Dark Arts 5,Runes 4,Herbology 6,Divination 3,Care of Magical Creatures 4,3
37,S,Potions 4,,Transfiguration 7,Charms 5,Defense Against the Dark Arts 5,,Herbology 5,Divination 2,Care of Magical Creatures 5,5
38,G,Potions 6,,Transfiguration 5,Charms 1,,,Herbology 3,,,6
39,G,Potions 7,,Transfiguration 7,Charms 4,Defense Against the Dark Arts 7,,Herbology 2,Divination 3,Care of Magical Creatures 3,1
40,S,Potions 6,Muggle Studies 1 ,Transfiguration 4,Charms 3,Defense Against the Dark Arts 5,Runes 4,Herbology 2,Divination 4,Care of Magical Creatures 2,6
41,R,Potions 4,Muggle Studies 3,Transfiguration 6,Charms 2,Defense Against the Dark Arts 2,Runes 1,Herbology 3,Divination 1 ,Care of Magical Creatures 4,1
42,R,Potions 1,,Transfiguration 4,Charms 2,Defense Against the Dark Arts 5,,Herbology 2,,,6
43,R,Potions 7,,Transfiguration 4,Charms 4,Defense Against the Dark Arts 1,,Herbology 3,Divination 1 ,Care of Magical Creatures 3,1
44,S,Potions 7,Muggle Studies 1 ,Transfiguration 3,Charms 6,Defense Against the Dark Arts 1,Runes 1,Herbology 7,Divination 1 ,Care of Magical Creatures 5,6
45,S,Potions 6,,Transfiguration 4,Charms 5,,,Herbology 6,,,5
46,R,Potions 7,Muggle Studies 2,Transfiguration 7,Charms 5,Defense Against the Dark Arts 6,Runes 1,Herbology 6,Divination 1 ,Care of Magical Creatures 2,6
47,G,Potions 5,,Transfiguration 1,Charms 7,,,Herbology 4,,,4
48,H,Potions 2,Muggle Studies 2,Transfiguration 4,Charms 3,Defense Against the Dark Arts 1,Runes 4,Herbology 2,Divination 2,Care of Magical Creatures 1,4
49,H,Potions 4,,Transfiguration 2,Charms 2,Defense Against the Dark Arts 1,,Herbology 3,,,5
50,G,Potions 7,Muggle Studies 1 ,Transfiguration 3,Charms 2,Defense Against the Dark Arts 4,Runes 1,Herbology 5,Divination 2,Care of Magical Creatures 2,4
51,R,Potions 3,,Transfiguration 2,Charms 6,,,Herbology 5,,,5
52,G,Potions 1,Muggle Studies 2,Transfiguration 6,Charms 2,Defense Against the Dark Arts 2,Runes 3,Herbology 4,Divination 1 ,Care of Magical Creatures 1,5
53,S,Potions 1,,Transfiguration 5,Charms 5,,,,,,6
54,G,Potions 5,Muggle Studies 1 ,Transfiguration 6,Charms 3,Defense Against the Dark Arts 6,Runes 3,Herbology 1,Divination 4,Care of Magical Creatures 4,5
55,G,Potions 6,,Transfiguration 3,Charms 7,,,Herbology 3,,,6
56,G,Potions 4,,Transfiguration 4,Charms 4,Defense Against the Dark Arts 2,,Herbology 4,Divination 3,Care of Magical Creatures 3,1
57,G,Potions 4,Muggle Studies 2,Transfiguration 1,Charms 1,Defense Against the Dark Arts 6,Runes 3,Herbology 6,Divination 3,Care of Magical Creatures 3,3
58,R,Potions 6,,Transfiguration 5,Charms 5,Defense Against the Dark Arts 5,,Herbology 6,,,2
59,S,Potions 6,,Transfiguration 1,Charms 5,Defense Against the Dark Arts 3,,Herbology 6,Divination 1 ,Care of Magical Creatures 1,6
60,H,Potions 3,Muggle Studies 3,Transfiguration 1,Charms 5,Defense Against the Dark Arts 1,Runes 3,Herbology 2,Divination 1 ,Care of Magical Creatures 1,2
61,G,Potions 1,,Transfiguration 2,Charms 7,Defense Against the Dark Arts 4,,Herbology 7,Divination 1 ,Care of Magical Creatures 2,5
62,G,Potions 3,Muggle Studies 2,Transfiguration 5,Charms 2,Defense Against the Dark Arts 4,Runes 1,Herbology 6,Divination 2,Care of Magical Creatures 1,7
63,R,Potions 5,,Transfiguration 6,Charms 1,Defense Against the Dark Arts 3,,Herbology 7,Divination 1 ,Care of Magical Creatures 1,5
64,H,Potions 2,Muggle Studies 2,Transfiguration 4,Charms 7,Defense Against the Dark Arts 4,Runes 2,Herbology 7,Divination 1 ,Care of Magical Creatures 4,6
65,G,Potions 4,,Transfiguration 7,Charms 1,Defense Against the Dark Arts 7,,Herbology 3,,,7
66,G,Potions 4,,Transfiguration 4,Charms 3,,,Herbology 5,,,3
67,S,Potions 4,,Transfiguration 2,Charms 6,Defense Against the Dark Arts 7,,Herbology 3,Divination 1 ,Care of Magical Creatures 3,7
68,R,Potions 7,,Transfiguration 7,Charms 3,Defense Against the Dark Arts 3,,Herbology 6,Divination 3,Care of Magical Creatures 5,1
69,H,Potions 2,,Transfiguration 3,Charms 7,Defense Against the Dark Arts 1,,Herbology 6,,,7
70,S,Potions 3,Muggle Studies 2,Transfiguration 6,Charms 4,Defense Against the Dark Arts 3,Runes 1,Herbology 3,Divination 3,Care of Magical Creatures 2,5
71,S,Potions 7,,Transfiguration 3,Charms 6,Defense Against the Dark Arts 7,,Herbology 4,Divination 2,Care of Magical Creatures 3,4
72,S,Potions 7,Muggle Studies 2,Transfiguration 1,Charms 5,Defense Against the Dark Arts 2,Runes 2,Herbology 5,Divination 2,Care of Magical Creatures 5,3
73,R,Potions 1,,Transfiguration 6,Charms 6,,,Herbology 4,,,7
74,H,Potions 2,,Transfiguration 1,Charms 2,Defense Against the Dark Arts 7,,Herbology 1,Divination 3,Care of Magical Creatures 1,1
75,S,Potions 2,,Transfiguration 4,Charms 4,,,Herbology 6,,,7
76,H,Potions 3,,Transfiguration 2,Charms 4,Defense Against the Dark Arts 5,,Herbology 2,Divination 4,Care of Magical Creatures 5,2
77,H,Potions 6,,Transfiguration 7,Charms 5,,,,,,5
78,R,Potions 3,Muggle Studies 2,Transfiguration 2,Charms 2,Defense Against the Dark Arts 6,Runes 4,Herbology 6,Divination 4,Care of Magical Creatures 1,3
79,R,Potions 5,,Transfiguration 6,Charms 7,Defense Against the Dark Arts 7,,Herbology 5,,,5
80,R,Potions 6,,Transfiguration 4,Charms 1,Defense Against the Dark Arts 7,,Herbology 4,Divination 4,Care of Magical Creatures 4,1
81,S,Potions 7,,Transfiguration 7,Charms 7,Defense Against the Dark Arts 6,,Herbology 3,,,5
82,H,Potions 7,Muggle Studies 3,Transfiguration 5,Charms 2,Defense Against the Dark Arts 1,Runes 3,Herbology 3,Divination 2,Care of Magical Creatures 2,5
83,R,Potions 4,,Transfiguration 2,Charms 5,,,,,,5
84,R,Potions 6,,Transfiguration 1,Charms 6,Defense Against the Dark Arts 2,,Herbology 2,,,4
85,H,Potions 4,,Transfiguration 2,Charms 3,Defense Against the Dark Arts 2,,Herbology 4,,,2
86,G,Potions 2,,Transfiguration 5,Charms 3,,,,,,4
87,S,Potions 5,,Transfiguration 4,Charms 1,Defense Against the Dark Arts 3,,Herbology 3,Divination 4,Care of Magical Creatures 2,6
88,H,Potions 6,,Transfiguration 4,Charms 6,Defense Against the Dark Arts 4,,Herbology 5,Divination 1 ,Care of Magical Creatures 2,1
89,G,Potions 5,,Transfiguration 3,Charms 5,,,Herbology 5,,,1
90,R,Potions 6,Muggle Studies 1 ,Transfiguration 5,Charms 6,Defense Against the Dark Arts 6,Runes 1,Herbology 5,Divination 3,Care of Magical Creatures 2,1
91,G,Potions 2,,Transfiguration 5,Charms 5,Defense Against the Dark Arts 3,,Herbology 6,,,3
92,S,Potions 1,,Transfiguration 6,Charms 7,Defense Against the Dark Arts 2,,Herbology 4,,,1
93,R,Potions 2,Muggle Studies 1 ,Transfiguration 4,Charms 7,Defense Against the Dark Arts 2,Runes 1,Herbology 2,Divination 3,Care of Magical Creatures 1,2
94,S,Potions 3,Muggle Studies 3,Transfiguration 3,Charms 7,Defense Against the Dark Arts 6,Runes 1,Herbology 2,Divination 2,Care of Magical Creatures 5,7
95,G,Potions 2,Muggle Studies 2,Transfiguration 4,Charms 1,Defense Against the Dark Arts 6,Runes 3,Herbology 7,Divination 3,Care of Magical Creatures 5,1
96,R,Potions 3,,Transfiguration 1,Charms 7,Defense Against the Dark Arts 2,,Herbology 1,,,7
97,R,Potions 2,,Transfiguration 4,Charms 3,,,Herbology 1,,,3
98,R,Potions 7,,Transfiguration 3,Charms 2,Defense Against the Dark Arts 2,,Herbology 6,,,7
99,G,Potions 6,Muggle Studies 1 ,Transfiguration 3,Charms 5,Defense Against the Dark Arts 5,Runes 3,Herbology 7,Divination 1 ,Care of Magical Creatures 2,5
100,R,Potions 4,Muggle Studies 1 ,Transfiguration 2,Charms 6,Defense Against the Dark Arts 6,Runes 1,Herbology 6,Divination 1 ,Care of Magical Creatures 1,4
101,H,Potions 3,,Transfiguration 5,Charms 7,Defense Against the Dark Arts 7,,Herbology 2,,,6
102,G,Potions 5,Muggle Studies 3,Transfiguration 2,Charms 5,Defense Against the Dark Arts 1,Runes 1,Herbology 3,Divination 1 ,Care of Magical Creatures 3,7
103,G,Potions 3,Muggle Studies 1 ,Transfiguration 7,Charms 1,Defense Against the Dark Arts 7,Runes 3,Herbology 2,Divination 4,Care of Magical Creatures 4,6
104,H,Potions 1,,Transfiguration 2,Charms 4,Defense Against the Dark Arts 6,,Herbology 7,,,7
105,S,Potions 4,Muggle Studies 2,Transfiguration 3,Charms 4,Defense Against the Dark Arts 2,Runes 4,Herbology 5,Divination 2,Care of Magical Creatures 2,1
106,H,Potions 2,,Transfiguration 2,Charms 3,,,Herbology 7,,,7
107,G,Potions 2,,Transfiguration 6,Charms 1,Defense Against the Dark Arts 7,,Herbology 6,,,5
108,R,Potions 5,,Transfiguration 1,Charms 3,Defense Against the Dark Arts 4,,Herbology 5,,,6
109,S,Potions 6,,Transfiguration 2,Charms 1,,,Herbology 6,,,6
110,S,Potions 2,Muggle Studies 3,Transfiguration 6,Charms 2,Defense Against the Dark Arts 2,Runes 2,Herbology 5,Divination 1 ,Care of Magical Creatures 1,2
111,S,Potions 3,Muggle Studies 3,Transfiguration 2,Charms 3,Defense Against the Dark Arts 6,Runes 2,Herbology 1,Divination 1 ,Care of Magical Creatures 4,5
112,R,Potions 3,,Transfiguration 5,Charms 2,Defense Against the Dark Arts 1,,Herbology 5,Divination 2,Care of Magical Creatures 1,3
113,H,Potions 2,,Transfiguration 6,Charms 5,Defense Against the Dark Arts 4,,Herbology 5,,,3
114,R,Potions 4,,Transfiguration 2,Charms 4,Defense Against the Dark Arts 5,,Herbology 3,,,4
115,S,Potions 4,,Transfiguration 4,Charms 2,Defense Against the Dark Arts 7,,Herbology 5,Divination 2,Care of Magical Creatures 2,6
116,S,Potions 2,,Transfiguration 7,Charms 6,Defense Against the Dark Arts 6,,Herbology 4,Divination 4,Care of Magical Creatures 5,3
117,S,Potions 2,,Transfiguration 6,Charms 1,,,,,,2
118,R,Potions 5,,Transfiguration 2,Charms 2,,,Herbology 3,,,7
119,G,Potions 2,,Transfiguration 5,Charms 1,,,Herbology 3,,,4
120,G,Potions 6,Muggle Studies 1 ,Transfiguration 4,Charms 3,Defense Against the Dark Arts 5,Runes 2,Herbology 5,Divination 1 ,Care of Magical Creatures 5,6
121,S,Potions 7,Muggle Studies 1 ,Transfiguration 5,Charms 6,Defense Against the Dark Arts 2,Runes 3,Herbology 7,Divination 2,Care of Magical Creatures 1,2
122,G,Potions 7,Muggle Studies 3,Transfiguration 4,Charms 7,Defense Against the Dark Arts 4,Runes 3,Herbology 6,Divination 4,Care of Magical Creatures 1,6
123,R,Potions 3,,Transfiguration 2,Charms 2,Defense Against the Dark Arts 2,,Herbology 6,,,7
124,H,Potions 5,Muggle Studies 1 ,Transfiguration 5,Charms 5,Defense Against the Dark Arts 7,Runes 1,Herbology 7,Divination 1 ,Care of Magical Creatures 2,6
125,G,Potions 6,,Transfiguration 5,Charms 4,Defense Against the Dark Arts 3,,Herbology 3,Divination 1 ,Care of Magical Creatures 3,7
126,G,Potions 5,,Transfiguration 1,Charms 5,Defense Against the Dark Arts 4,,Herbology 3,,,3
127,H,Potions 4,Muggle Studies 2,Transfiguration 1,Charms 3,Defense Against the Dark Arts 1,Runes 4,Herbology 4,Divination 4,Care of Magical Creatures 1,4
128,R,Potions 4,,Transfiguration 1,Charms 3,Defense Against the Dark Arts 6,,Herbology 3,Divination 3,Care of Magical Creatures 3,2
129,G,Potions 6,,Transfiguration 3,Charms 3,Defense Against the Dark Arts 2,,Herbology 6,,,1
130,H,Potions 4,,Transfiguration 7,Charms 7,Defense Against the Dark Arts 6,,Herbology 1,Divination 1 ,Care of Magical Creatures 1,3
131,S,Potions 7,,Transfiguration 3,Charms 1,,,Herbology 2,,,4
132,H,Potions 6,Muggle Studies 1 ,Transfiguration 2,Charms 2,Defense Against the Dark Arts 6,Runes 2,Herbology 6,Divination 1 ,Care of Magical Creatures 4,7
133,R,Potions 4,,Transfiguration 4,Charms 3,,,Herbology 7,,,6
134,S,Potions 4,,Transfiguration 7,Charms 5,Defense Against the Dark Arts 2,,Herbology 7,,,2
135,S,Potions 5,,Transfiguration 2,Charms 2,Defense Against the Dark Arts 3,,Herbology 2,,,2
136,R,Potions 3,,Transfiguration 5,Charms 1,Defense Against the Dark Arts 5,,Herbology 7,Divination 4,Care of Magical Creatures 1,5
137,H,Potions 3,Muggle Studies 2,Transfiguration 5,Charms 1,Defense Against the Dark Arts 4,Runes 2,Herbology 1,Divination 2,Care of Magical Creatures 1,6
138,R,Potions 6,Muggle Studies 2,Transfiguration 2,Charms 1,Defense Against the Dark Arts 2,Runes 3,Herbology 2,Divination 4,Care of Magical Creatures 1,2
139,G,Potions 7,Muggle Studies 1 ,Transfiguration 7,Charms 7,Defense Against the Dark Arts 4,Runes 3,Herbology 6,Divination 1 ,Care of Magical Creatures 3,1
140,S,Potions 5,,Transfiguration 1,Charms 6,,,,,,1
141,S,Potions 7,Muggle Studies 2,Transfiguration 7,Charms 1,Defense Against the Dark Arts 2,Runes 4,Herbology 6,Divination 2,Care of Magical Creatures 1,1
142,H,Potions 1,,Transfiguration 7,Charms 7,,,Herbology 4,,,7
143,R,Potions 6,,Transfiguration 7,Charms 4,Defense Against the Dark Arts 2,,Herbology 3,,,6
144,H,Potions 1,,Transfiguration 2,Charms 3,Defense Against the Dark Arts 3,,Herbology 5,,,3
145,R,Potions 5,Muggle Studies 1 ,Transfiguration 2,Charms 5,Defense Against the Dark Arts 5,Runes 1,Herbology 7,Divination 4,Care of Magical Creatures 3,7
146,G,Potions 6,Muggle Studies 3,Transfiguration 1,Charms 4,Defense Against the Dark Arts 1,Runes 3,Herbology 7,Divination 3,Care of Magical Creatures 4,4
147,G,Potions 7,,Transfiguration 7,Charms 2,Defense Against the Dark Arts 1,,Herbology 7,,,6
148,S,Potions 7,Muggle Studies 1 ,Transfiguration 2,Charms 6,Defense Against the Dark Arts 2,Runes 3,Herbology 4,Divination 4,Care of Magical Creatures 1,3
